フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
56,POINT(136.823424696922 35.1934679211734),rt0205-3,甚目寺歴史民俗資料館,052-443-0145,https://www.city.ama.aichi.jp/shisetsu/1004076/1004566/1004108.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:23:17
57,POINT(136.741810441017 35.1203210255059),rt0206-1,水の館,海部土地改良区 0567-65-5225,http://amatochi.com/mizunoyakata/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:24:37
59,POINT(136.747416257858 35.1123787152791),rt0206-2,ＪＡあいち海部グリンセンター 十四山店（菜々耕房）,0567-56-6808,https://www.ja-aichiama.com/food/gcnana.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:25:50
60,POINT(136.774334907532 35.0845438050878),rt0206-3,飛島村大宝排水機場保存館,飛島村教育委員会生涯教育課 0567-52-3351,https://www.vill.tobishima.aichi.jp/sonsei/syoukai/pump.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:27:05
61,POINT(136.851631715439 34.9145521233177),rt0301-4,前山ダム公園,環境経済部　農業水産課 0569-35-5111,http://www.city.tokoname.aichi.jp/kurashi/sportspark/1001010/1001015.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:57:54
62,POINT(136.866916046395 34.8555163797801),rt0301-3,多賀の里,0569-34-8630,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 11:10:40
63,POINT(136.867315675108 34.8236766260637),rt0301-1,小脇公園,0569-37-1531,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 11:11:34
64,POINT(136.866121803249 34.8273157234361),rt0301-2/rt0308-3,盛田味の館,0569-37-0733,http://moritakk.com/know_enjoy/ajinoyakata/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 11:12:24
65,POINT(136.890989542007 34.962101565661),rt0302-3/rt0312-2,佐布里池（知多市）,知多市観光協会  0562-51-5637,http://chita-kanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/12/27 11:06:55
66,POINT(136.822872161865 34.954838542572),rt0302-4,新舞子マリンパーク（知多市）,0562-56-3980,http://www.marine-park.jp/info/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:32:10
67,POINT(136.868036783702 34.999070839794),rt0302-1/rt0305-1,知多市歴史民俗博物館（知多市）,0562-33-1571,http://www.city.chita.lg.jp/soshiki/museum/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:10:50
68,POINT(136.890007853508 34.9670164908838),rt0302-2/rt0306-2/rt0308-1,佐布里緑と花のふれあい公園（知多市）,0562-54-2911,http://www.sourifureai.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/24 11:04:43
69,POINT(136.844496130943 34.7577622174818),rt0303-4,野間崎灯台（美浜町）,美浜町役場 0569-82-1111,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:38:15
70,POINT(136.889616250992 34.7891622599544),rt0303-3,美浜町民の森（美浜町）,美浜町役場　産業建設部　産業課　農政係 0569-82-1111,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:40:32
71,POINT(136.847166001525 34.7562112189941),rt0303-5/rt0305-3/rt0310-3,食と健康の館（美浜町）,0569-83-3600,http://www.shio-yakata.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:19:11
72,POINT(136.879702806473 34.8008361851815),rt0303-1/rt0307-2/rt0308-4/rt0311-3/rt0312-3,ジョイフルファーム鵜の池（美浜町）,0569-87-6080,https://www.joyful-f.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/12/27 11:07:33
73,POINT(136.883329753302 34.8016913871159),rt0303-2,鵜の池（美浜町）,美浜町役場 0569-82-1111,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:22:28
74,POINT(136.910635175662 34.9096334319322),rt0304-5,黒牛の里（半田市）,0569-23-8672,http://www.kuroushi.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:24:33
75,POINT(136.934216022491 34.8931164651108),rt0304-2,MIZKAN MUSEUM,0569-24-5111,http://www.mizkan.co.jp/mim/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 11:18:13
77,POINT(136.934972405434 34.8953472379743),rt0304-4,國盛　酒の文化館（半田市）,0569-23-1499,https://www.nakanoshuzou.jp/museum/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:47:50
78,POINT(136.897783072233 34.890899863933),rt0304-1,ファーマーズマーケット「ブリオ」（半田市）,0569-20-5410,http://www.fm-brio.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:28:59
79,POINT(136.934731006622 34.8924696616508),rt0304-3/rt0309-3,半田運河（半田市）,半田市観光協会 0569-32-3264,https://www.handa-kankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/12/27 10:59:50
80,POINT(136.862577442022 34.8160292053353),rt0305-2,坂井海岸（常滑市）,とこなめ観光協会坂井支部 0569ｰ37-0922,http://sakaikaigan.com/access,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 15:59:54
81,POINT(136.943217515945 34.9931072550854),rt0305-5/rt0306-5/rt0311-2,ＪＡあぐりタウン　げんきの郷（大府市）,0562‐45‐4080,http://www.agritown.co.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/26 15:37:19
82,POINT(136.938171818899 34.7065353850215),rt0305-4/rt0308-5,豊浜魚ひろば（南知多町）,魚ひろば事務局 0569‐65‐0483,http://sakanahiroba.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:03:24
83,POINT(136.962636709213 34.972713566521),rt0306-3,東浦町郷土資料館「うのはな館」,生涯学習課 文化財係 0562‐82‐1188,https://www.town.aichi-higashiura.lg.jp/soshiki/shogaigakushu/bunkazai/unohana/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 14:00:53
84,POINT(136.906803846359 35.0221287318343),rt0306-1,東海市立農業センター,052-601-8731,http://www.city.tokai.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 14:02:27
85,POINT(136.951889250825 34.9903235773292),rt0306-4/rt0311-1,東浦ぶどう　ぶどう狩り,東浦町森岡ぶどう組合 0562-84-0219,http://www.hm-grape.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:08:00
86,POINT(137.002458238956 34.707152838958),rt0307-1,日間賀島〔体験漁業〕（南知多町）,日間賀島観光協会 0569-68-2388,https://www.himaka.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:09:43
88,POINT(136.91478270809 34.8558503089547),rt0309-2,武豊町歴史民俗資料館（武豊町）,0569-73-4100,http://www.town.taketoyo.lg.jp/category_list.php?frmCd=4-2-3-0-0,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:10:48
89,POINT(136.86936760124 34.7332159056281),rt0310-2,内海海水浴場（南知多町）,南知多町観光協会 0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:12:22
90,POINT(136.929530842871 34.7048059976294),rt0310-1,豊浜鯛まつり（南知多町）,南知多町観光協会 0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 16:13:18
91,POINT(137.003142424268 34.6812170940465),rt0307-1,コウナゴの天日干し,篠島観光協会 0569-67-3700,http://www.shinojima-aichi.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 09:20:03
94,POINT(137.159012780888 34.9575462762634),rt0401-2,岡崎公園,岡崎市土木建設部公園緑地課 0564-23-6250,https://www.city.okazaki.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:36:55
95,POINT(137.15230046021 34.9582037481254),rt0401-2,八丁蔵通り,岡崎市観光協会 0564-23-6217,https://okazaki-kanko.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:37:22
96,POINT(137.181172370911 35.0154026415913),rt0401-1,おかざき自然体験の森,0564-45-5544,https://okazaki-kanko.jp/mizutomidori/shizen-taiken,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:36:29
97,POINT(137.177047915142 34.877539202455),rt0401-3,幸田憩いの農園,0564-62-4339,https://life.ja-group.jp/farm/market/detail?id=1343,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:37:57
98,POINT(137.18212723732 34.8373318638117),rt0401-4,本光寺,幸田町観光協会 0564-62-1111,https://www.kota-kanko.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:38:19
99,POINT(137.333873119599 34.9269703887309),rt0409-1,男川やな,0564-82-2089,https://www.city.okazaki.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:52:43
105,POINT(137.038556328264 34.8788604489743),rt0402-1/rt0403-1,西尾の抹茶工場見学,一般社団法人西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:40:08
106,POINT(137.05385863781 34.874370300471),rt0403-2,西尾市岩瀬文庫,西尾市教育委員会文化振興課文化財担当（西尾市岩瀬文庫内） 0563-56-2459,https://www.city.nishio.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:42:45
107,POINT(137.065113186836 34.8066064584628),rt0403-3/rt0404-3,尾崎士郎記念館、旧糟谷邸,尾﨑士郎記念館 0563-32-4646,https://www.city.nishio.aichi.jp/shisetsu/bunka/1001579/1004045.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:43:05
108,POINT(137.014054740316 34.7945782753335),rt0403-4/rt0404-4/rt0405-5,一色さかな広場、さかな村,一色さかなセンター(株) 0563-72-3700 西三河漁業協同組合 0563-72-8281,http://www.sakanahiroba.com/ http://www.nishimikawagyokyou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:43:48
109,POINT(137.144527789077 34.7885597372501),rt0404-1,三河湾観光漁船,東幡豆漁業協同組合 0563-62-2068,http://www.katch.ne.jp/~higasihazu-gk/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:44:40
110,POINT(137.072693109512 34.8094165674181),rt0404-2,国宝　金蓮寺弥陀堂,西尾市教育委員会事務局　文化振興課 0563-56-2459,https://www.city.nishio.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:44:58
111,POINT(137.035277788653 34.725277036129),rt0405-3,大葉邸,西尾市役所佐久島振興課 0563-72-9607,http://sakushima.com/guide-top/art-top/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:45:43
112,POINT(137.046048109222 34.7224213616407),rt0405-4,シーサイドプロムナード,西尾市役所佐久島振興課 0563-72-9607,http://sakushima.com/guide-top/art-top/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:46:04
113,POINT(137.035077810287 34.7259181539648),rt0405-2,黒壁の家並み,西尾市役所佐久島振興課 0563-72-9607,http://sakushima.com/guide-top/art-top/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:45:34
114,POINT(137.034403204519 34.7259432097426),rt0405-1,弁天サロン,佐久島弁天サロン 0563-78-2001,http://sakushima.com/guide-top/benten-salon,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:45:20
115,POINT(137.027492523193 34.8056858846937),rt0405-6,一色地域文化広場「一色学びの館」,一色学びの館 0563-72-3880,http://isshiki-ccp.jp/manabi/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/13 11:46:23
116,POINT(137.318499790262 35.1372849661347),rt0501-6,中馬館,0565-62-0878,http://asuke.info/view/rekishi/entry-24.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 15:08:37
118,POINT(137.332516539213 35.1388892075742),rt0501-2,百年草,0565-62-0100,https://www.hyakunensou.co.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 15:09:05
119,POINT(137.313941717148 35.1296489601636),rt0501-4,三州足助屋敷,0565-62-1188,http://asukeyashiki.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:11:39
120,POINT(137.385240197182 35.1161963864427),rt0501-1,鼎工房,0565-62-2693,http://www.asuke.aitai.ne.jp/~kanae-z/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:12:23
121,POINT(137.314041787522 35.1358120877142),rt0501-5,中馬街道,足助観光協会 0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 15:36:50
122,POINT(137.260796427727 35.0507051485234),rt0502-1,松平郷・散策道,松平郷館（松平ふるさとづくり委員会） 080-5166-1629,http://www.matudaira-sato.com/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 10:15:36
123,POINT(137.399042844772 35.1005691312052),rt0502-3,田之土里湿原,愛知県豊田加茂事務所環境保全課 0565-32-7494,https://mikawanoyasou.org/loca/tanosirisitugen.htm,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:13:43
124,POINT(137.376018762589 35.0768087358314),rt0502-2,三河高原,豊田市しもやま観光協会 0565-90-2530,http://www.karen-shimoyama.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 13:07:32
125,POINT(137.410624623299 35.0302160018568),rt0502-6,三河湖,三河湖観光センター 0565-90-3510,http://www.tourismtoyota.jp/spots/detail/722/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 10:22:19
126,POINT(137.383979558945 35.0423036826505),rt0502-4,手作り工房山遊里,0565-91-1186,http://www.karennosato.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:19:13
