フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
11,POINT(137.090894579887 35.2803577037221),da010111,定光寺,桜と紅葉の名所。尾張徳川家の藩祖義直を祀る源敬公廟のある臨済宗の古刹です。,定光寺,0561-85-2730,http://www.aichi-now.jp/spots/detail/959/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:51:42
12,POINT(137.144867253063 35.2400888168362),da010112,岩屋堂公園,自然あふれる瀬戸の奥座敷です。四季を通しての観光スポットになっています。,瀬戸市まるっとミュージアム観光協会,0561-85-2730,http://www.seto-marutto.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:50:40
13,POINT(137.080192565918 35.1168896914386),da010113,愛知池,知多半島の慢性的な水不足を解消するために整備された愛知用水の調整池として造られました。,（独）水資源機構 愛知用水総合管理所,0561-39-5460,http://www.water.go.jp/chubu/aityosui/b(jyouhou-main)/01(aitiyousui)/03(sisetu)/03(aitiike)/b-01-03-03.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:48:53
14,POINT(136.992280714693 35.271677604392),da010114,落合公園の桜,日本の都市公園百選に選ばれた落合公園に、ソメイヨシノほか千本余の桜が美しく咲き競います。,春日井市役所公園緑地課,0568-85-6281,http://www.city.kasugai.lg.jp/shisei/machi/park/ochiaikoen.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:48:00
15,POINT(136.959756016731 35.2560978727977),da010115,朝宮公園,桜並木が落合公園から続いており、のんびり散策が楽しめます。,春日井市役所公園緑地課,0568-85-6281,http://www.city.kasugai.lg.jp/shisei/machi/park/1008523/1008545/1008551.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:46:44
16,POINT(136.974926590919 35.2629267489726),da010115,三つ又ふれあい公園,桜並木が落合公園から続いており、のんびり散策が楽しめます。,春日井市役所公園緑地課,0568-85-6281,https://city.kasugai.lg.jp/shisei/machi/park/1008523/1008545/1008551.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:04:03
17,POINT(136.99526309967 35.3191697004642),da010116,兒（ちご）の森,子どもたちの自然体験の場として、小牧市東部のゆるやかな丘陵地帯に整備されました。呼称は、地元のお宮の名前に由来しています。,小牧市こども政策課,0568-76-1179,https://www.city.komaki.aichi.jp/admin/life/kosodate/kosodateshisetsu/15564.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:45:18
18,POINT(136.912608146667 35.2928592564817),da010117,小牧山,春の桜、夏の青葉、秋の紅葉、そして雪の小牧山と四季折々の姿を見せ、憩いの場として親しまれています。,小牧山(小牧市歴史館）,0568-72-0712,http://www.city.komaki.aichi.jp/admin/event_1/events/bunkazai/1/news/rekishikan/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:06:11
19,POINT(136.877371317033 35.2780558700919),da010118,五条川の桜と尾北自然歩道,五条川は四季折々に美しい情景を見せ、尾北自然歩道はこの流れをたどることができます。,岩倉市商工農政課,0587-38-5812,https://www.city.iwakura.aichi.jp/category/3-11-0-0-0.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:43:55
20,POINT(136.857950091362 35.3496545918697),da010119,曼陀羅寺公園のフジ,フジの開花時期に合わせて、曼陀羅寺公園内で藤祭りが開催されます。,江南市役所都市計画課,0587-54-1111,https://www.city.konan.lg.jp/shisetsu/kouen/1002997/1003002.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:04:44
21,POINT(136.899529695511 35.3749580278147),da010120,木曽川扶桑緑地公園,木曽川河川敷を舞台にした緑地公園です。キャンプ場、散策の森などがあり、木曽川の美しい自然を眺めながらの散策に最高です。,木曽川扶桑緑地公園,公園：0587-93-1111(都市整備課） キャンプ場予約等：0587-93-2441（総合体育館）,http://www.town.fuso.lg.jp/shisetsu/1002710/1002760.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/27 11:14:41
22,POINT(136.974062919617 35.3756316277806),da010121,中島池,希少な動植物を保護・回復することを目的として整備され、自然観察することができます。,犬山市役所,0568-61-1800,https://www.city.inuyama.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:07:24
23,POINT(136.995413303375 35.3342078999652),da010122,入鹿池,江戸時代（1633年）に築造された我が国屈指の農業用ため池です。水管理の合理化と、用水の安定供給のため、度重なる改修が行われ、現在の姿に至っています。,水土里ネット愛知,052-551-3611,http://www.aichi-doren.or.jp/map14.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:41:12
24,POINT(136.84894323349 35.0727345793234),da010123,藤前干潟,藤前干潟は貴重な自然を残しており、2002年11月、ラムサール条約登録地に指定されました。,稲永ビジターセンター,052-389-5821,http://chubu.env.go.jp/wildlife/fujimae/institution/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:08:47
25,POINT(136.841197013855 35.2164711570673),da010124,清須の自然と歴史,清洲公園や清洲城など、戦国時代の歴史を感じさせてくれます。,清洲城,052-409-7330,https://www.city.kiyosu.aichi.jp/shisetsu_annai/kanko_shisetsu_sonota/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/27 11:16:40
26,POINT(136.915365457535 35.2609337752988),da010126,神明公園,「緑」や「水」に親しむ空間、大空への憧れの空間として、子どもから大人まで楽しめる公園です。,神明公園（航空館boon),0568-29-0036,https://www.town.toyoyama.lg.jp/shisetsu/koen/1001011.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:38:12
27,POINT(136.939140639688 35.3089986012249),da010127,岩崎清流亭の藤,花房が１．８ｍにおよぶものがあり、４月下旬の開花期には訪れる人の目を楽しませてくれます。,小牧市役所　文化財課　文化財係,0568-76-1189,https://www.city.komaki.aichi.jp/admin/soshiki/kyoiku/bunkazai/1_1/2/bunkazai/shiteibunkazai/2/9112.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:37:06
28,POINT(136.720658540726 35.1736767702956),da020101,天王川公園,津島市の天王川（てんのうがわ）公園は、四季折々の景色が楽しめる憩いの場です。,津島市役所 シティプロモーション課広報・プロモーショングループ,0567-24-1111,http://www.city.tsushima.lg.jp/shokai/kankouannai/tennougawakouen.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:08:07
29,POINT(136.689223051071 35.1613541917272),da020102,ハスの風景,愛西市の水田地域では７～８月にかけて、ハスの開花風景を見ることができ、自由に観賞できる蓮園（はすえん）も２か所あります。,愛西市観光協会,0567-55-9993,https://www.aisaikankou.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/29 11:58:16
30,POINT(136.680200099945 35.1318338064175),da020103,船頭平閘門,水位の異なる木曽川と長良川を行き来する船のために造られた水門です。,船頭平閘門管理所　木曽川文庫,0594-24-6233,https://www.cbr.mlit.go.jp/kisokaryu/sisetu/bunko.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/28 15:50:16
31,POINT(136.719315201852 35.1044448883581),da020104,水郷の塔,弥富市の景観美を広く親しんでもらうため建てられたシンボルタワーです。,弥富市役所,0567-65-1111,https://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/02 15:55:53
32,POINT(136.784774065018 35.0497521767652),da020105,弥富野鳥園,羽を休めている多くの野鳥を観察できる弥富野鳥園,愛知県弥富野鳥園,0567-68-2338, https://www.aichi-park.or.jp/yachou/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:12:20
33,POINT(136.769667863846 35.2054262091576),da020106,蓮華寺寺叢,あま市（旧美和町）にある愛知県自然環境保全地域第１号の指定を受けた面積約2.2haの自然林です。,あま市役所　産業振興課,052-441-7114（直通）,https://www.city.ama.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:13:28
34,POINT(136.798267053859 35.178629093791),da020107,らかんまき,あま市（旧七宝町）の遠島八幡神社にある樹齢３００年を経ている県指定天然記念物です。,美和歴史民族資料館,052-442-8522,https://www.city.ama.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/02 16:01:52
35,POINT(136.816138097129 35.1972698206079),da020108,水辺乃並木道,あま市（旧甚目寺町）の福田川の河川敷を使った並木道です。,あま市役所　産業振興課,052-441-7114（直通）,https://www.city.ama.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 11:08:32
36,POINT(136.764957904816 35.1003540764653),da020109,三ツ又池公園,弥富市の三ツ又池は、水郷地帯として市のシンボル的な存在です。,弥富市役所,0567-65-1111,https://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:16:42
37,POINT(136.934612989426 34.8924608615686),da030101,半田運河,船方橋から北へ向かう入江沿いを中心に、黒板囲いの蔵が並び、美しいたたずまいを映しています。,半田市観光協会,0569-32-3264,https://www.handa-kankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:17:31
38,POINT(136.851631715439 34.9145521233177),da030103,前山ダム公園,前山ダムの水辺の自然環境を活かした憩いとふれあいの場です。,常滑市環境経済部　農業水産課,0569-35-5111,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 11:16:48
39,POINT(136.890860795975 34.9622070769913),da030104,佐布里池,早春には２５種類約４６００本の梅が咲き、梅まつりが開催されます。,知多市観光協会,0562-51-5637,https://chita-kanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:20:34
40,POINT(136.889653801918 34.7891754766532),da030106,美浜町民の森,自然観察とハイキング、体験広場でのデイキャンプが楽しめます。,美浜町役場　産業建設部産業課,0569-82-1111　内線265,https://www.town.aichi-mihama.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:21:47
41,POINT(136.895956993103 34.8699427651882),da030107,壱町田湿地,県の天然記念物に指定されている植物を夏期の指定日に公開しています。,武豊町歴史民俗資料館,0569-73-4100,http://www.town.taketoyo.lg.jp/category_list.php?frmCd=4-1-1-7-0,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:23:12
42,POINT(137.159752249718 34.9567598770325),da040101,岡崎公園,岡崎市のシンボル岡崎城や三河武士のやかた家康館を中心とした歴史と文化の公園です。,岡崎市都市整備部公園緑地課,0564-23-7406,https://www.city.okazaki.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 10:39:17
43,POINT(137.400019168854 34.9376984225364),da040102,くらがり渓谷,岡崎市額田地区男川上流の、片麻岩と落葉樹のおりなす景観が見事な自然公園です。,くらがりキャンプセンター,0564-83-2057,http://okazaki-kanko.jp/mizutomidori/kuragari ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:24:56
44,POINT(137.057275772095 35.0630576424034),da040103,小堤西池のカキツバタ群落,刈谷市北端にあるカキツバタ自生地で、国指定天然記念物（昭和13年8月8日指定）です。,刈谷市役所文化観光課,0566-62-1037,http://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006415.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:27:12
45,POINT(137.028542876151 34.9465781051694),da040104,都市に広がる集団農地,安城市の市街地近郊に広がる農地で、優良農地の保全、地域営農システムにより、担い手農家に対し農地の利用集積が進んでいます。,安城市役所産業環境部農務課農政係,0566-71-2233,https://www.city.anjo.aichi.jp/soshiki/sangyoshinkoubu/nomu.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/02 16:11:46
46,POINT(137.041611671448 34.882595376658),da040105,稲荷山茶園公園,西尾市西部の矢作川に近い、美しい緑のうねが続く茶畑を一望できる高台の公園です。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:29:19
47,POINT(137.049958705902 34.7165530298349),da040106,佐久島,西尾市一色町沖合三河湾の真ん中に浮かぶ漁業の島は、四季を通して楽しめるアウトドアリゾートの拠点です。,西尾市佐久島振興課,0563-72-9607,http://sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:31:56
48,POINT(137.161736779607 34.8160665070089),da040107,三ヶ根山,旧幡豆町の屋根、三ヶ根山頂からは三河湾の眺望を楽しむことができます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/03/19 10:00:45
49,POINT(137.075239840148 34.8752515422001),da040109,八ツ面山（やつおもてやま）,西尾市街から北東へ２ｋｍ、標高６７ｍの八ツ面山は、三河平野と三河湾が見渡せる絶好の展望台です。中腹には国重要文化財の久麻久（くまく）神社本殿があります。,西尾市建設部公園緑地課,0563-65-2111,https://www.nishio.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2021/02/22 14:16:57
50,POINT(137.122206687927 34.8483077907787),da040110,平原（ひらはら）の滝,西尾市東部の山間に古くからある信仰の滝です。飲めば長寿に、打たれれば病気も治ると伝えられています。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:34:36
51,POINT(137.119717597961 34.8548847206578),da040111,平原（ひらはら）ゲンジボタルの里,西尾市東部丘陵地にあり、ゲンジボタルの幻想的な光が乱舞する自然観察保護区域です。,平原ゲンジボタルの里保存会,090-9903-3098,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:33:45
52,POINT(137.066481113434 34.7853821971459),da040114,西尾市吉良町吉田沖の海苔粗朶,海上に点在する海苔粗朶（そだ）の風景は、吉良の海の特徴の1つです。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 09:59:11
53,POINT(137.091372013092 34.7777334283149),da040115,西尾市吉良町宮崎海岸,宮崎・恵比寿海水浴場があり、宿泊施設もあり、泊まりで遊べます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:41:16
54,POINT(137.16344833374 34.7850473580552),da040116,三河湾の彼方に沈む夕日,冬でも波静かな旧幡豆町の海岸は、隠れた夕日スポットがいっぱいです。Мy”夕日スポット”を見つけよう。,西尾市観光協会,0563-57-7882,http://nishiokanko.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 09:53:57
55,POINT(137.202941996191 34.8551952272542),da040117,遠望峰山（とぼねやま）,幸田町と蒲郡市にまたがる遠望峰山は標高４４３m。山頂からは、幸田町、蒲郡市、三河湾が一望できます。,幸田町役場環境経済部産業振興課商工観光グループ,0564-62-1111(内線261・262）,https://www.town.kota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:43:23
56,POINT(137.043611034728 34.775463783401),da040118,三河湾に広がる一色干潟,一色干潟は、西尾市一色町から吉良町の沿岸に広がる三河湾最大の干潟です。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:45:55
57,POINT(137.034584283829 34.7267911199572),da040119,「三河湾の黒真珠」佐久島,西尾市一色町佐久島内集落の路地では、黒く塗られた板壁が連なり、その風景から佐久島は「三河湾の黒真珠」といわれています。,西尾市役所佐久島振興課,0563-72-9607,http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:44:45
58,POINT(137.044991254807 34.7164075181255),da040120,「佐久島のお庭」,西尾市一色町佐久島の離れ小島「大島」に渡ると、植樹した梅園の中に「佐久島のお庭」が現われます。,西尾市役所部佐久島振興課,0563-72-9607, http://www.sakushima.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:47:22
59,POINT(137.013362646103 34.9046832670166),da040121,油ヶ淵,碧南市にある油ヶ淵は、愛知県で最大規模の自然湖です。鯉、鮒、ボラなどの釣りが楽しめます。,碧南市観光協会,0566-95-9894,https//www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:54:53
60,POINT(136.973183469491 34.8459867175288),da040122,碧南市前浜新田の松並木,碧南市前浜旧堤防に連なる深緑の松,碧南市役所　都市整備課   ,0566-95-9909,http://www.city.hekinan.aichi.jp/index.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:30:20
61,POINT(137.242906093597 35.0675186596742),da050101,王滝渓谷,四季折々に変化する山々と渓谷が織りなす、自然美豊かなスポットです。,豊田市観光協会（ツーリズムとよた）,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 11:19:42
62,POINT(137.120736837387 35.0051476941746),da050102,明治緑道（水車公園）,明治用水の歴史が分かります。,豊田市公園課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 10:55:49
63,POINT(137.179745435715 35.0492866657811),da050103,水源公園,豊田市内最大の桜の名所です。,豊田市公園課,0565-34-6621,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:43:09
64,POINT(137.218487262726 35.0981244959369),da050104,鞍ヶ池公園,豊かな自然と四季の移ろいを感じることの出来る公園です。,豊田市公園課,0565-80-5310,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:44:02
65,POINT(137.188214713392 35.1203857483783),da050105,枝下（しだれ）用水,東海疎水百選にも選ばれた名用水です。,水土里ネット豊田（豊田土地改良区）,0565-28-2855,http://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:11:00
66,POINT(137.224232129513 35.1174713069988),da050106,鷹見の里（たきみのさと）ビオトープ,身近な地域の自然を守り育てる活動を続けています。,豊田市立上鷹見小学校,0565-41-2017,http://www2.toyota.ed.jp/swas/index.php?id=s_kamitakimi,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:12:02
67,POINT(137.285732017278 35.0617703839146),da050107,六所山（ろくしょさん）,荘厳な空気に満ちた巨木林と多彩な昆虫や野鳥観察が楽しめる山です。,豊田市こども部次世代育成課,0565-34-6630,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/03 10:18:07
68,POINT(137.285403013229 35.0618984405315),da050108,焙烙山（ほうろくさん）,豊田市最高峰で、市民が運び上げた石で作られた「２１世紀の城」が昭和６０年１１月に完成しています。,豊田市観光協会（ツーリズムとよた）,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:00:33
69,POINT(137.170993717769 35.2011664913185),da050109,猿投山・菊石,原生林で森林浴を兼ねたハイキングと菊石の不思議さを見ます。,豊田市観光協会（ツーリズムとよた）,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:18:57
70,POINT(137.260710597038 35.0505821850503),da050110,松平郷・散策道,５つの自然歩道を踏破してみませんか？,松平観光協会,0565-77-8089,http://www.matudaira-sato.com/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:02:40
71,POINT(137.195940613747 35.2052596468565),da050111,しだれ桜（金剛寺）,樹齢３００年の豪勢な桜の木です。,藤岡観光協会,0565-76-6108,http://r.goope.jp/fujiokakanko,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:03:30
72,POINT(137.246446609497 35.1938712352306),da050112,ふじの回廊,藤岡の花である「ふじ」をテーマにした散策路です。,藤岡観光協会,0565-76-6108,http://r.goope.jp/fujiokakanko,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:55:12
73,POINT(137.310260885517 35.2447471571136),da050113,四季桜・四季の回廊,小原の文化・歴史・四季折々の豊かな自然に触れることができます。,小原観光協会,0565-65-3808,https://www.kankou-obara.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:25:16
74,POINT(137.313169240952 35.1314521206353),da050114,香嵐渓,4000本の紅葉がある渓谷です。カタクリ、紅葉の時期は行楽客で一杯になり、夏は川遊びも楽しめます。,足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:57:20
75,POINT(137.314059734344 35.1356856616451),da050115,中馬街道,塩の道「中馬街道」で、足助の黄金時代の礎を見ます。,足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:12:50
76,POINT(137.399096488953 35.1004067429847),da050116,田之士里湿原,美しくかわいい可憐な花の見学をどうぞ。,愛知県豊田加茂事務所　環境保全課,0565-32-7494,http://mikawanoyasou.org/loca/tanosirisitugen.htm ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:01:34
77,POINT(137.314403057098 35.1334833703725),da050117,カタクリ,"香嵐渓の飯盛山麓の北面斜面に、約５,000㎡の大群落をつくって咲きます。",足助観光協会,0565-62-1272,http://asuke.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 11:59:00
78,POINT(137.376179695129 35.0768614175576),da050118,三河高原,高原牧場でのんびり草を食べている牛の見学などができます。,豊田市しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:07:16
79,POINT(137.410737276077 35.0302687136485),da050119,三河湖,春は山ツツジ、夏はカジカガエルが鳴き、秋は紅葉が楽しめます。,豊田市しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/29 15:16:51
80,POINT(137.363597305544 35.0669425173697),da050120,もみじ街道（加茂広域農道）,秋の紅葉を楽しみながら、爽やかなドライブはいかがですか？,豊田市役所下山支所,0564-86-2111,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:37:40
81,POINT(137.358341372124 35.0276831283824),da050121,羽佐の窪渓谷,三河湖の近く、爽やかな渓流の水が流れます。,豊田市しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:40:08
82,POINT(137.403945922852 35.0667459024872),da050122,保殿の七滝（ほでんのななたき）,野原川の上流で、随所に七つの滝があります。,豊田市しもやま観光協会,0565-90-2530,http://www.karen-shimoyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 10:51:37
83,POINT(137.413602569473 35.196786188735),da050123,東海自然歩道,小鳥のさえずりと爽やかな風を感じながら、心地よいハイキングはいかがですか？,豊田市役所旭支所,0565-68-2211,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 13:44:22
84,POINT(137.325249910355 35.1980445413958),da050124,お須原山縁結び岩,縁結びの願を届けてみませんか。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:11:59
