フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
12,POINT(136.812990903854 35.2852490840187),da010511,愛知西のその他各直売所（お米屋さん丹陽西店）,採れたての農産物を販売するＪＡ愛知西の産直コーナーです。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん丹陽西店）,0586-24-6100,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:17:36
13,POINT(136.805960600788 35.3429827075536),da010511,愛知西のその他各直売所（お米屋さん葉栗店）,採れたての農産物を販売するＪＡ愛知西の産直コーナーです。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん葉栗店）,0586-51-9611,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/03 13:22:06
14,POINT(136.808677911758 35.2256127827571),da010511,愛知西のその他各直売所（産直広場大里店）,採れたての農産物を販売するＪＡ愛知西の産直コーナーです。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（ＪＡ愛知西　産直広場大里店）,0587-24-9920,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:54:25
16,POINT(136.844696970059 35.3096313707865),da010512,うみたて卵直売店　うきうき村,色々な種類の新鮮鶏卵が用意されています。,うきうき村,0586-76-7335,http://www.ukinoyoukei.co.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:59:22
17,POINT(136.771879538746 35.3653033790322),da010513,天然鮎せり市,尾張地域唯一の天然鮎のセリ市を開催しています。,木曽川漁業協同組合,0586-87-3222,https://kisogawagyokyou19501027.on.omisenomikata.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 13:02:00
18,POINT(136.789333820343 35.2466530138566),da010514,荻須記念美術館,稲沢市出身でパリを中心に活躍した萩須高徳氏の業績を讃え、市民の美術文化振興に寄与しています。,荻須記念美術館,0587-23-3300 ,http://www.city.inazawa.aichi.jp/museum/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:19:13
19,POINT(136.745785474777 35.3079505026276),da010514,一宮市三岸節子記念美術館,毛織物工場をモチーフとした建物、画伯が好んで描いたヴェネチアの運河などの作品や、愛用の品々を展示するなど、在りし日の画伯を偲ぶことができます。,一宮市三岸節子記念美術館,0586-63-2892,http://s-migishi.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:55:00
20,POINT(137.052705287933 35.2409224796763),da010515,森林公園,名古屋市守山区から尾張旭市に広がる広大な県立公園です。緑の中でのんびりしたり、スポーツしたり様々な過ごし方ができます。,愛知県森林公園,0561-53-1551,http://www.aichishinrin.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:57:14
21,POINT(137.061761770772 35.1851565490319),da010516,あぐりん村,農産物直売所、農産物加工所、ふるさと薬膳レストランなどの都市農村交流施設です。長久手温泉“ござらっせ”隣接地に平成１９年４月にオープンしました。,長久手温泉アグリ事業部,0561-64-2831,http://www.nagakuteonsen.jp/agrin/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:58:29
22,POINT(137.089076042175 35.1308115864515),da010517,愛知牧場,乳しぼり、バター作り、アイスクリーム作り、手づくりウィンナー教室、引き馬・乗馬レッスン、パターゴルフなどなど、楽しみいろいろ！ゆったり牧場気分を楽しんでください。,愛知牧場/(有)愛知兄弟社,0561-72-1300,http://www.aiboku.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:57:39
23,POINT(137.111370563507 35.1878783082561),da010518,あいち海上（かいしょ）の森センター,「あいち海上（かいしょ）の森センター」（ムーアカデミー）は森林や里山に関する学習と交流の拠点として設立されました。,あいち海上の森センター（愛称：ムーアカデミー）,0561-86-0606,https://www.pref.aichi.jp/soshiki/kaisho/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:59:49
24,POINT(137.006297960377 35.0410161649192),da010519,愛知豊明花き地方卸売市場,鉢花・蘭鉢等観賞用植物の取扱量はアジア最大です。,愛知豊明花き地方卸売市場,0562-96-1199,http://fengming.jp/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:00:24
25,POINT(137.010938058726 35.1141216757931),da010520,名古屋市農業センターdelaふぁーむ,一般市民の方を対象に、草花の展示や栽培教室、家畜の展示や農業の体験教室を行うなど農業公園として広く開放し、農業知識の学習、体験の場として利用されています。,名古屋市農業センター,052-801-5221,http://www.city.nagoya.jp/kurashi/category/19-8-4-2-2-0-0-0-0-0.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:01:36
26,POINT(137.10074365139 35.2254506440042),da010521,瀬戸蔵,産業観光・市民交流の拠点施設です。瀬戸市で推進している「せと・まるっとミュージアム」の拠点となっています。,瀬戸蔵,0561-97-1555,http://www.seto-marutto.info/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:26:14
27,POINT(137.077582446767 35.2069210635351),da010522,瀬戸グリーンセンター とれたて館,地元産のとれたての農産物をお値打ちに販売しています。,ＪＡあいち尾東瀬戸グリーンセンターとれたて館,0561-21-1181,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:03:51
28,POINT(137.034866636054 35.2152114202732),da010523,尾張旭グリーンセンター及び産直センター,季節の花苗、野菜苗がお値打ちです。,ＪＡあいち尾東 尾張旭グリーンセンター,0561-53-2715,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:05:28
30,POINT(137.047984925445 35.18288120438),da010524,長久手グリーンセンター,花苗、鉢花や園芸用品の他、地元の野菜や果実を販売しています。また、精米もできるコメ米コーナーでは地元産コシヒカリ、あさひの夢をはじめ銘柄米を販売しています。,ＪＡあいち尾東長久手グリーンセンター,0561-63-1210,http://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:09:54
31,POINT(137.039557099342 35.1310835947341),da010525,農産振興クラブ 及び日進野菜研究会,ＪＡあいち尾東日進園芸センターを拠点にして、新鮮な野菜の産地直売を行っています。,ＪＡあいち尾東日進園芸センター,0561-72-0062（日進園芸センター内） ,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:31:07
32,POINT(137.049844976154 35.0875814184627),da010526,東郷グリーンセンター,地元産の新鮮な野菜、果物やお米を販売しています。地元のお米の“俵オーナー”も大人気です。,ＪＡあいち尾東東郷グリーンセンター,0561-39-0010,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:11:22
33,POINT(136.973934173584 35.0335104235019),da010527,豊明フレッシュセンター 及び西部産直センター,市内農家の方が真心込めて育てた「安心・安全・安価」な採れたての野菜が毎日出荷されています。また、地元の生みたて“たまご”も大人気です。一度ご賞味ください。,ＪＡあいち尾東豊明フレッシュセンター,0562-92-0135,https://www.jaab.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:32:00
34,POINT(137.104166150093 35.2302708469463),da010528,ノベルティ・こども創造館,ノベルティは瀬戸では陶磁器製の置物や装飾品の総称です。,ノベルティ・こども創造館,0561-88-2668,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:14:32
35,POINT(137.107304334641 35.2246136523161),da010528,瀬戸染付工芸館,やきものの伝統技法である「瀬戸染付」をテーマにした施設です。,瀬戸染付工芸館,0561-89-6001,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:15:16
36,POINT(137.102236524104 35.2246950851413),da010528,新世紀工芸館,陶芸・ガラス工芸の施設です。陶芸体験もあります。,新世紀工芸館,0561-97-1001,http://www.city.seto.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:15:48
37,POINT(137.089033126831 35.1737118497041),da010529,愛・地球博記念公園（モリコロパーク）,愛・地球博の理念と成果を引き継ぐ公園です。愛称「モリコロパーク」,愛・地球博記念公園（モリコロパーク）管理事務所,0561-64-1130,http://www.aichi-koen.com/moricoro/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:16:37
38,POINT(137.060379147089 35.1844792594146),da010529,長久手温泉ござらっせ,天然温泉を利用した温浴レジャー施設です。,長久手温泉ござらっせ,0561-64-3511,http://www.nagakuteonsen.jp/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:17:50
39,POINT(137.048360109329 35.2516515665434),da010530,東谷山フルーツパーク,都市における自然とのふれあいの場として、植物観察や散策を楽しんでいただくとともに、果樹栽培技術の指導・研究を通じて都市農業の振興を図るなど、多目的な農業公園です。,東谷山フルーツパーク,052-736-3344,http://www.fruitpark.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:18:51
40,POINT(137.005755901337 35.3116670616406),da010531,市民四季の森,ちびっこ動物村、芝生のくつろぎ広場や、仲間同士で楽しめるバーベキュー場などあり、子供から大人まで四季おりおりの自然が楽しめる公園です。,市民四季の森,0568-78-4554,https://www.city.komaki.aichi.jp/sumunarakomaki/kosodatekankyo/seicyowosasaemasu/10352.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:20:13
41,POINT(137.058423757553 35.302557029697),da010532,都市緑化植物園（グリーンピア春日井）,緑豊かな山々に囲まれ、緑と花の休憩所や各庭園など、四季折々の植物が見られます。自然のなかでゆったりと家族や友達同士で楽しむのに絶好の場所です。,春日井市都市緑化植物園(グリーンピア春日井),0568-92-8711,https://www.city.kasugai.lg.jp/shisetsu/sonota/syokubutsuen/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:21:57
42,POINT(137.055248022079 35.3035946007153),da010533,少年自然の家,築水の森や築水池に囲まれ、ハイキング、バードウォッチング、星の観察など、ゆたかな自然の中で1日中楽しめる施設です。,少年自然の家,0568-92-8211,https://www.city.kasugai.lg.jp/shisetsu/sonota/ie/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:41:15
43,POINT(136.968894222047 35.2970889887568),da010534,もも産地ＪＡ尾張中央・果実共同選果場,桃の産地に位置し、ＪＡ尾張中央の桃としてこの選果場を通じて各消費地へ届けられます。ももの直売も行っています。,ＪＡ尾張中央　小牧東部営農センター,0568-79-8000,https://ja-owari-chuoh.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:23:16
44,POINT(136.978500060315 35.2940845307968),da010535,グリーンセンター桃花台店,ＪＡ尾張中央本所の隣にあり、午前から多くの来客で賑わいます。,ＪＡ尾張中央グリーンセンター桃花台店,0568-79-6001,http://www.ja-owari-chuoh.or.jp/nougyo/shop01.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:25:34
45,POINT(136.973671169081 35.2718206222791),da010536,グリーンセンター春日井中央店,春日井から小牧へ抜ける幹線沿いの、のどかな田園地帯の中にあります。園芸相談室も開いています。,ＪＡ尾張中央グリーンセンター春日井中央店,0568-87-2622,http://www.ja-owari-chuoh.or.jp/nougyo/shop02.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:26:40
46,POINT(136.94503498675 35.2323157970725),da010537,グリーンセンター味美店,名古屋に近く、意外に街中にある直売所です。,ＪＡ尾張中央グリーンセンター味美店,0568-35-5222,http://www.ja-owari-chuoh.or.jp/nougyo/shop03.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:27:39
47,POINT(137.025604248047 35.2682571651441),da010538,ファーマーズマーケットぐぅぴぃひろば ,春日井市で採れた新鮮野菜をはじめ、お米や花き類も豊富に販売しています。,ファーマーズマーケットぐぅぴぃひろば ,0568-51-2882,http://www.ja-owari-chuoh.or.jp/jigyosyo/tenpo06.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:45:35
49,POINT(136.932211626024 35.2406749918822),da010540,エアフロントオアシス（空港南側）,緑と水のうるおいを通じて空港に親しめるよう整備された緑地空間です。県営名古屋空港から離発着する飛行機をすぐ真上に見ることが出来ます。,小牧市役所都市政策部みどり公園課,0568-76-1191,http://parknagoya.web.fc2.com/airport/airoasis.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:31:10
50,POINT(136.916255950928 35.270771142767),da010540,エアフロントオアシス（空港北側）,緑と水のうるおいを通じて空港に親しめるよう整備された緑地空間。県営名古屋空港から離発着する飛行機をすぐ真上に見ることが出来ます。,小牧市役所都市政策部みどり公園課,0568-76-1191,https://www.city.komaki.aichi.jp/admin/shimin/life/midori/1/01/10997.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:31:34
51,POINT(137.012399928432 35.2984864164494),da010540,くりの木ランチ,「安全・安心」「新鮮」と「おいしい」「楽しい」をテーマに交流できる場とした直売所です。こだわりのたまごや豚肉、これらを使った自慢工房（ミート・菓子・惣菜）の商品と新鮮な野菜や果物があります。,新鮮体験農園くりの木ランチ,0568-79-2448,https://www.crestfarm.co.jp/company/access/kurinoki.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:35:02
52,POINT(136.984640768425 35.3701018799389),da010541,犬山里山学センター,日本の原風景である里山を保全し、後世に伝え自然の大切さを発信する拠点としてオープンしました。,犬山里山学センター,0568-65-2121,https://www.city.inuyama.aichi.jp/kurashi/manabu/1000897/1001519/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:42:06
53,POINT(136.879531145096 35.3705751167032),da010542,すいとぴあ江南,水と緑のふるさとづくり事業の拠点で、16種類500株の花菖蒲が展望タワーをバックに美しく咲き誇り、訪れた人の目を楽しませてくれます。,すいとぴあ江南,0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:49:32
54,POINT(136.878768036081 35.3709506804398),da010543,スイトピアYuYuクラブ朝市,新鮮な野菜等の即売を行っています。,すいとぴあ江南,0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:46:15
55,POINT(136.91391153749 35.3591846882912),da010543,ふれあい青空市（扶桑町）,新鮮な野菜等の即売を行っています。,ＪＡ愛知北扶桑支店,0587-93-2211,http://www.ja-aichikita.or.jp/profile/store/detail.php?id=12,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:48:15
56,POINT(136.869843037475 35.3438144853597),da010543,まんだら青空市 （JA愛知北江南支店）,自然豊かな曼陀羅寺にて、新鮮な農産物を提供しています。,JA愛知北江南支店,0587-55-2275,http://www.ja-aichikita.or.jp/profile/store/detail.php?id=2,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:53:52
57,POINT(136.857322454453 35.3494795750761),da010543,まんだら青空市 （曼陀羅寺公園大型バス駐車場）,自然豊かな曼陀羅寺にて、新鮮な農産物を提供しています。,JA愛知北江南支店,0587-55-2275,http://www.ja-aichikita.or.jp/profile/store/detail.php?id=2,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:53:07
58,POINT(136.871945947798 35.282739213644),da010543,岩倉野菜の広場,新鮮な野菜等の即売を行っています。,岩倉市役所建設部商工農政課,0587-38-5812,https://www.city.iwakura.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:50:15
59,POINT(136.939516067505 35.3808627711763),da010543,犬山どんでん朝市,新鮮な野菜等の即売を行っています。,犬山まちづくり株式会社,0568-65-0002,http://www.inuyama-tmo.com/asaichi.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:59:25
60,POINT(136.910223647158 35.3283754204725),da010543,大口町朝市会,新鮮な野菜等の即売を行っています。,大口町朝市会,"","","","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:52:02
61,POINT(136.863897126603 35.2772927420852),da010544,産直センター岩倉店,消費者の方に安心してご購入いただけるよう、安全安心な野菜づくりに励んでいます。,ＪＡ愛知北産直センター岩倉店,0587-38-3301,http://www.chu.aichi-ja.or.jp/shop/shop-110.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 14:54:56
62,POINT(136.936755709093 35.3861646026427),da010545,犬山頭首工,濃尾平野の宮田、木津、羽島の３用水を合口した犬山頭首工が昭和３０年代に築造され、農業用水の安定確保に寄与しています。,犬山頭首工管理所,0568-61-1003,https://www.maff.go.jp/tokai/noson/kisocho/inuyama/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:35:04
63,POINT(136.812529563904 35.1156522695292),da010546,農業文化園・戸田川緑地,名古屋市の南西部、戸田川沿いに位置し、花と水と自然に恵まれた場所にあり、農業の必要性と、花を愛する心を育む市民憩いの施設として、平成元年5月に開園しました。,戸田川緑地管理センター,052-302-5321,http://www.bunkaen-todagawa.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:03:11
64,POINT(136.86022053064 35.1031701733384),da010547,荒子川公園ガーデンプラザ,市民の緑化意識の啓発を目的としてオープンしました。館内には、緑に関する相談コーナーのほか講習会や展示会も開かれ、気楽に訪れることができます。,荒子川公園ガーデンプラザ,052-384-8787,http://www.nga.or.jp/park/arako1-html/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:36:09
65,POINT(136.886338103511 35.2151479262497),da010548,庄内緑地公園・グリーンプラザ,緑豊かな環境の中で、自然と触れ合いながら運動や、展示会・講習会を通して、緑化に関する情報提供・緑化普及啓発などを行う複合施設です。,庄内緑地公園・グリーンプラザ,052-503-1010,http://www.nga.or.jp/park/syonai-html/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:37:00
66,POINT(136.816183130807 35.109992045809),da010549,ＪＡなごや南陽店,名古屋市港区南陽町地区でとれた農産物の直売コーナーがあり、生産者は、南陽ひまわりグループ4名で構成しています。,JAなごやAコープ南陽店,052-301-8709,http://www.ja-nagoya.or.jp/store/detail.php?id=46 ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:37:41
68,POINT(136.854721258496 35.2449802000014),da010551,グリーン西春日井,毎年１１月中旬頃にＪＡ西春日井農業祭を開催します。,グリーン西春日井,0568-24-1662,http://ja-nishikasugai.com/f-new-uridashi.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:38:45
69,POINT(136.919843588428 35.2538383804811),da010552,名古屋空港・地元産品コーナー,１階出発ロビー「スカイショップ翼」にて定期的にご当地の味を全国に紹介する特設コーナーを開いています。,名古屋空港ビルディング　スカイショップ翼,0568-28-6668,https://nagoya-airport.jp/shop/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 13:43:27
72,POINT(136.694383044323 35.1441941811644),da020501,道の駅「立田ふれあいの里」,木曽川にかかる立田（たつた）大橋のそばにある、訪れる人の憩いの場です。,道の駅「立田ふれあいの里」,0567-23-1011,http://www.tatsuta-fureai.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/02/24 15:05:53
73,POINT(136.799086332321 35.1838184738238),da020502,七宝焼アートヴィレッジ,「尾張七宝」として、伝統的工芸品の指定を受けた七宝焼の総合施設です。,七宝焼アートヴィレッジ,052-443-7588,https://www.city.ama.aichi.jp/shisetsu/1004076/1004566/1004117.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:14:49
74,POINT(136.778929647691 35.1329827430209),da020503,尾張温泉（湯元館）,蟹江町にある泉温５５度の源泉かけ流し天然温泉です。,湯元館,0567-95-3454,https://yumotokan.biz/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/02/24 15:08:11
75,POINT(136.778158115828 35.1337014295422),da020503,尾張温泉（尾張温泉東海センター）,蟹江町にある泉温５５度の源泉かけ流し天然温泉です。,尾張温泉東海センター,0567-95-3161,http://owarionsen.co.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/02/24 15:09:26
76,POINT(136.741799712181 35.1204263327055),da020504,水の館,弥富市にある水を総合的に捉えた資料館です。,海部土地改良区,0567-65-5225,http://amatochi.com/mizunoyakata/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:16:31
77,POINT(136.725233363275 35.1013475675288),da020505,立田輪中人造堰樋門,輪中の用排水に苦慮した人々が、明治３４年（１９０２年）に完成させた樋門です。弥富市輪中公園にあります。,弥富市歴史民俗資料館,0567-65-4355,https://www.city.yatomi.lg.jp/kurashi/1000296/1000301/1000303.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/02/24 15:12:00
80,POINT(136.785237227556 35.1686819266218),da020508,ＪＡ海部東グリーンプラザ,JA海部東の新鮮な野菜や果物、苗などを販売しています。,海部東農業協同組合グリーンプラザ,0567-23-7380,https://www.ja-amahigashi.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:03:45
81,POINT(136.770324336465 35.1764765860442),da020509,朝市かもり,津島市神守（かもり）地区では、新鮮な地場野菜やその加工品(漬物など）を販売しています。,JA海部東神守支店,0567-24-2121,http://www.ja-amahigashi.or.jp/farm/asaichi/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:04:36
84,POINT(136.711592674255 35.1643363392921),da020512,ＪＡあいち海部グリーンセンター津島店 （愛菜耕房）,ＪＡあいち海部の特産物レンコン、イチゴを中心に地元産農産物や切花・苗を販売しています。,ＪＡあいち海部（グリーンセンター津島店）,0567-23-3511,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:26:03
85,POINT(136.747201681137 35.1123611623549),da020513,JAあいち海部グリーンセンター 十四山店（菜々耕房）,ＪＡあいち海部管内の地元産農産物や切花・苗を中心に販売しています。,ＪＡあいち海部（グリーンセンター十四山店）,0567-56-6808,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:08:40
86,POINT(136.934076547623 34.8931208651169),da030501,MIZKAN MUSEUM,日本唯一のお酢の総合博物館 「MIZKAN MUSEUM」,MIZKAN MUSEUM,0569-24-5111,http://www.mizkan.co.jp/mim/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:31:15
88,POINT(136.934977769852 34.8953824370607),da030502,國盛 酒の文化館,２００年前に作られた酒蔵を改装した酒の博物館です。,國盛 酒の文化館,0569-23-1499,http://www.nakanoshuzou.jp/sake/infomation.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/24 10:50:57
89,POINT(136.866916046395 34.8555163797801),da030503,多賀の里　農畜産物直売所,農産物、畜産物、水産物の新鮮な品を揃えています。,多賀の里,0569-34-8630,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/10 09:46:07
90,POINT(136.867315675108 34.8236766260637),da030504,小脇公園,体験農業、バーベキュー、朝市、喫茶などでたのしい公園です。,小脇公園,0569-37-1531,http://www.city.tokoname.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/10 09:47:55
91,POINT(136.866121803249 34.8273157234361),da030506,盛田味の館,江戸時代から今に伝わる１６０年前の醸造蔵、食事処です。,盛田味の館,0569-37-0733,http://www.moritakk.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:19:49
